source_type,source_file,source_sheet,source_lot,external_county,external_subcounty,external_settlement,external_contract,effective_contract,external_financier,external_cluster,matched_settlement_id,matched_settlement_name,matched_settlement_code,settlement_match_method,settlement_match_score,matched_county_id,matched_subcounty_id,matched_project_id,matched_project_title,matched_project_code,project_match_method,project_match_score,project_location_id,comp11_titles_expected,comp11_population,comp11_lot,comp11_cluster,roads_km_planned,roads_km_achieved,drainage_km_planned,drainage_km_achieved,water_pipeline_km_planned,water_pipeline_km_achieved,water_connections_planned,water_connections_achieved,ablution_blocks_planned,ablution_blocks_achieved,highmast_lights_planned,highmast_lights_achieved,streetlights_planned,streetlights_achieved,vending_platforms_planned,vending_platforms_achieved,sewer_connections_planned,sewer_connections_achieved,water_kiosks_planned,water_kiosks_achieved,footpaths_km_planned,footpaths_km_achieved,roads_km_indicator_name,roads_km_category_title,roads_km_activity_code,drainage_km_indicator_name,drainage_km_category_title,drainage_km_activity_code,water_pipeline_km_indicator_name,water_pipeline_km_category_title,water_pipeline_km_activity_code,water_connections_indicator_name,water_connections_category_title,water_connections_activity_code,ablution_blocks_indicator_name,ablution_blocks_category_title,ablution_blocks_activity_code,highmast_lights_indicator_name,highmast_lights_category_title,highmast_lights_activity_code,streetlights_indicator_name,streetlights_category_title,streetlights_activity_code,vending_platforms_indicator_name,vending_platforms_category_title,vending_platforms_activity_code,sewer_connections_indicator_name,sewer_connections_category_title,sewer_connections_activity_code,water_kiosks_indicator_name,water_kiosks_category_title,water_kiosks_activity_code,footpaths_km_indicator_name,footpaths_km_category_title,footpaths_km_activity_code,keep,match_notes
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kisumu,,Bandani,Phase 1 RFQ,Kisumu Lot 1 Phase 1 RFB,IDA,KISUMU KAKAMEGA,173,Bandani,sett164,exact,100,42,,42,Infrastructure upgrading  In Kisumu Lot 1,KE-KISUMU COUNTY-362227-CW-RFB - 2,county_lot_infra,110,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,contract resolved: Kisumu Lot 1 Phase 1 RFB; no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kisumu,,Manyatta A,Phase 1 RFQ,Kisumu Lot 1 Phase 1 RFB,IDA,KISUMU KAKAMEGA,174,Manyatta (Kona Mbaya),sett167,exact,100,42,,42,Infrastructure upgrading  In Kisumu Lot 1,KE-KISUMU COUNTY-362227-CW-RFB - 2,county_lot_infra,110,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,contract resolved: Kisumu Lot 1 Phase 1 RFB; no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kisumu,,Manyatta B,Phase 1 RFQ,Kisumu Lot 1 Phase 1 RFB,IDA,KISUMU KAKAMEGA,175,Manyatta B,sett168,exact,100,42,,42,Infrastructure upgrading  In Kisumu Lot 1,KE-KISUMU COUNTY-362227-CW-RFB - 2,county_lot_infra,110,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0,0,0,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,contract resolved: Kisumu Lot 1 Phase 1 RFB; no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kakamega,,Shibale,Kakamega Lot 1 Phase 1 RFB,Kakamega Lot 1 Phase 1 RFB,IDA,KISUMU KAKAMEGA,135,Shibale,sett126,exact,100,37,,35,Infrastructure upgrading  In Kakamega Lot 1,KE-NAKURU COUNTY-371238-CW-RFB-1,county_lot_infra,110,,,,,,0.523,0,2.846,0.193,0,0,70,0,0,0,1,0,0,0,0,0,0,0,5,0,0.823,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kakamega,,Mjini,Kakamega Lot 1 Phase 1 RFB,Kakamega Lot 1 Phase 1 RFB,IDA,KISUMU KAKAMEGA,134,Mjini (Mumias),sett125,fuzzy,108,37,,35,Infrastructure upgrading  In Kakamega Lot 1,KE-NAKURU COUNTY-371238-CW-RFB-1,county_lot_infra,110,,,,,,0.472,0,0.944,0,2.376,1.785,85,0,0,0,0,0,26,0,0,0,0,0,0,0,0.944,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kakamega,,Lukoye,Kakamega Lot 1 Phase 1 RFB,Kakamega Lot 1 Phase 1 RFB,IDA,KISUMU KAKAMEGA,133,Lukoye,sett124,exact,100,37,,35,Infrastructure upgrading  In Kakamega Lot 1,KE-NAKURU COUNTY-371238-CW-RFB-1,county_lot_infra,110,,,,,,0.88,0,2.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kakamega,,Amalemba,Kakamega Lot 2 Phase 1 RFB,Kakamega Lot 2 Phase 1 RFB,AFD,KISUMU KAKAMEGA,70,Amalemba,settment_81,exact,100,37,,36,Infrastructure upgrading  In Kakamega Lot 2,KE-KAKAMEGA COUNTY-371489-CW-RFB - 2,county_lot_infra,110,,,,,,0.848,0.777,1.696,1.4,0,0,0,0,0,0,1,1,25,23,0,0,80,0,0,0,1.696,0.85,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kakamega,,Kambi Somali,Kakamega Lot 2 Phase 1 RFB,Kakamega Lot 2 Phase 1 RFB,AFD,KISUMU KAKAMEGA,68,Kambi Somali(Kakamega),settment_79,fuzzy,108,37,,36,Infrastructure upgrading  In Kakamega Lot 2,KE-KAKAMEGA COUNTY-371489-CW-RFB - 2,county_lot_infra,110,,,,,,0.19,0,0.38,0.265,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kakamega,,Mjini,Phase 1 RFQ,Kakamega Lot 1 Phase 1 RFB,IDA,KISUMU KAKAMEGA,134,Mjini (Mumias),sett125,fuzzy,108,37,,35,Infrastructure upgrading  In Kakamega Lot 1,KE-NAKURU COUNTY-371238-CW-RFB-1,county_lot_infra,110,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,contract resolved: Kakamega Lot 1 Phase 1 RFB; no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kakamega,,Lukoye,Phase 1 RFQ,Kakamega Lot 1 Phase 1 RFB,IDA,KISUMU KAKAMEGA,133,Lukoye,sett124,exact,100,37,,35,Infrastructure upgrading  In Kakamega Lot 1,KE-NAKURU COUNTY-371238-CW-RFB-1,county_lot_infra,110,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,contract resolved: Kakamega Lot 1 Phase 1 RFB; no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kakamega,,Amalemba,Phase 1 RFQ,Kakamega Lot 2 Phase 1 RFB,IDA,KISUMU KAKAMEGA,70,Amalemba,settment_81,exact,100,37,,36,Infrastructure upgrading  In Kakamega Lot 2,KE-KAKAMEGA COUNTY-371489-CW-RFB - 2,county_lot_infra,110,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,contract resolved: Kakamega Lot 2 Phase 1 RFB; no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,KISUMU KAKAMEGA,,Kakamega,,Kambi Somali,Phase 1 RFQ,Kakamega Lot 2 Phase 1 RFB,IDA,KISUMU KAKAMEGA,68,Kambi Somali(Kakamega),settment_79,fuzzy,108,37,,36,Infrastructure upgrading  In Kakamega Lot 2,KE-KAKAMEGA COUNTY-371489-CW-RFB - 2,county_lot_infra,110,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,contract resolved: Kakamega Lot 2 Phase 1 RFB; no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,PHASE 1 NAKURUNAIROBI+CLUSTER 1,,Nakuru,,Kwa Murogi,RFB Phase 1 Lot 1,RFB Phase 1 Lot 1,IDA,PHASE 1 NAKURUNAIROBI+CLUSTER 1,217,Kwa Murogi,sett226,exact,100,32,,18,Consultancy services for Planning and Surveying of Selected Informal Settlements in Nakuru County - Lot 4 Cluster 3,MLHUD/KISIP/CS/002/2015-2016,lot_cluster_fuzzy,37,,,,,,1.045,1.045,1.045,1.045,0,0,0,0,0,0,4,0,0,0,0,0,1.045,1.045,0,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,PHASE 1 NAKURUNAIROBI+CLUSTER 1,,Nakuru,,London Hilton,RFB Phase 1 Lot 1,RFB Phase 1 Lot 1,IDA,PHASE 1 NAKURUNAIROBI+CLUSTER 1,214,Karagita,sett225,exact,100,32,,169,Digital Public Works,MLHUD/KISIP/CS/TBD,settlement_project_location,130,859,,,,,1.292,1.292,1.292,1.292,0,0,0,0,0,0,4,0,0,0,0,0,1.292,1.292,0.28,0.28,114,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,PHASE 1 NAKURUNAIROBI+CLUSTER 1,,Nakuru,,Lakeview,RFB Phase 1 Lot 1,RFB Phase 1 Lot 1,IDA,PHASE 1 NAKURUNAIROBI+CLUSTER 1,216,Lake view,sett227,fuzzy,102,32,,18,Consultancy services for Planning and Surveying of Selected Informal Settlements in Nakuru County - Lot 4 Cluster 3,MLHUD/KISIP/CS/002/2015-2016,lot_cluster_fuzzy,37,,,,,,0.95,0.95,0.95,0.95,0,0,0,0,0,0,3,0,0,0,0,0,0.95,0.95,0,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,no project_location link
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,PHASE 1 NAKURUNAIROBI+CLUSTER 1,,Nakuru,,Karagita,RFB Phase 1 Lot 2,RFB Phase 1 Lot 2,IDA,PHASE 1 NAKURUNAIROBI+CLUSTER 1,214,Karagita,sett225,exact,100,32,,169,Digital Public Works,MLHUD/KISIP/CS/TBD,settlement_project_location,130,859,,,,,0,0,0,0,7.8,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,
pdo,PDO Tracking Matrix  29-05-2026 NPCT.xlsx,PHASE 1 NAKURUNAIROBI+CLUSTER 1,,Nakuru,,Kwa Murogi,RFQ,RFB Phase 1 Lot 1,IDA,PHASE 1 NAKURUNAIROBI+CLUSTER 1,217,Kwa Murogi,sett226,exact,100,32,,18,Consultancy services for Planning and Surveying of Selected Informal Settlements in Nakuru County - Lot 4 Cluster 3,MLHUD/KISIP/CS/002/2015-2016,lot_cluster_fuzzy,37,,,,,,0,0,,0,0,0,0,,0,0,3,3,15,15,18,18,0,0,0,0,0,0,Access roads,Constructed,AC15,Storm water drainage,Constructed,AC23,Water reticulation pipes,Constructed,AC42,Household water connections,Installed,AC14,Ablution blocks,Constructed,,Floodlights,Installed,AC20,Street lights and power connections,Constructed,AC21,Markets and commercial facilities,Constructed,,Sewer lines,Installed,AC25,Water kiosks,Installed,,Footpaths,Constructed,AC17,Y,contract resolved: RFB Phase 1 Lot 1; no project_location link
